Page Name,English Text,pl,th,fr,de,lv,sk,km,es,pt,nl
NEW - Admin Page,Student & group management,Zarządzanie studentami i grupami,การจัดการนักศึกษาและกลุ่ม,Gestion des étudiants et des groupes,Studenten- und Gruppenmanagement,Studentu un grupu vadība,Vedenie študentov a skupín,ការគ្រប់គ្រងសិស្ស និងក្រុម,Gestión de estudiantes y grupos.,Gerenciamento de alunos e grupos,Studenten- en groepsmanagement
NEW - Admin Page,Manage student accounts,Zarządzaj kontami studentów,จัดการบัญชีนักเรียน,Gérer les comptes étudiants,Studentenkonten verwalten,Pārvaldīt studentu kontus,Spravovať študentské účty,គ្រប់គ្រងគណនីសិស្ស,Administrar cuentas de estudiantes,Gerenciar contas de estudantes,Beheer studentenaccounts
NEW - Admin Page,Search,Szukaj,ค้นหา,Rechercher,Suchen,Meklēt,Hľadať,ស្វែងរក,Buscar,Pesquisar,Zoeken
NEW - Admin Page,Status,Stan,สถานะ,Statut,Status,Statuss,Stav,ស្ថានភាព,Estado,Estado,Status
NEW - Admin Page,Group,Grupa,กลุ่ม,Groupe,Gruppe,Grupa,Skupina,ក្រុម,grupo,Grupo,Groep
NEW - Admin Page,Groups,Grupy,กลุ่ม,Groupes,Gruppen,Grupas,skupiny,ក្រុម,Grupos,Grupos,Groepen
NEW - Admin Page,Active,Aktywny,ใช้งานอยู่,Actif,Aktiv,Aktīvs,Aktívne,សកម្ម,Activo,Ativo,Actief
NEW - Admin Page,Actions,Działania,การดำเนินการ,Actions,Aktionen,Darbības,Akcie,សកម្មភាព,Acciones,Ações,Acties
NEW - Admin Page,Organise students into groups,Podziel uczniów na grupy,จัดนักเรียนออกเป็นกลุ่ม,Organiser les étudiants en groupes,Teilen Sie die Schüler in Gruppen ein,Organizējiet skolēnus grupās,Usporiadajte študentov do skupín,រៀបចំសិស្សជាក្រុម,Organizar a los estudiantes en grupos.,Organize os alunos em grupos,Verdeel de leerlingen in groepen
NEW - Admin Page,Unnamed,Bezimienny,ไม่มีชื่อ,Sans nom,Unbenannt,Bez nosaukuma,Nemenovaný,គ្មានឈ្មោះ,Sin nombre,Sem nome,Naamloos
NEW - Admin Page,Manage students,Zarządzaj uczniami,จัดการนักเรียน,Gérer les étudiants,Schüler verwalten,Pārvaldīt studentus,Riadiť študentov,គ្រប់គ្រងសិស្ស,Administrar estudiantes,Gerenciar alunos,Beheer studenten
