slug,en,fr,pl,th,km
account-activity,Account Activity,Activité du compte,Aktywność konta,กิจกรรมบัญชี,សកម្មភាពគណនី
account-created,Account Created,Compte créé,Konto utworzone,สร้างบัญชีแล้ว,បានបង្កើតគណនី
add-at-least-one-content-item-to-continue,Add at least one content item to continue.,Ajoutez au moins un élément de contenu pour continuer.,"Dodaj co najmniej jeden element treści, aby kontynuować.",เพิ่มเนื้อหาอย่างน้อยหนึ่งรายการเพื่อดำเนินการต่อ,បន្ថែមធាតុមាតិកាយ៉ាងហោចណាស់មួយដើម្បីបន្ត។
add-feedback,Add Feedback,Ajouter un commentaire,Dodaj opinię,เพิ่มข้อเสนอแนะ,បន្ថែមមតិកែលម្អ
add-row,Add Row,Ajouter une ligne,Dodaj wiersz,เพิ่มแถว,បន្ថែមជួរដេក
add-students-to-group,Add students to group,Ajouter des élèves au groupe,Dodaj uczniów do grupy,เพิ่มนักเรียนเข้ากลุ่ม,បន្ថែមសិស្សទៅក្រុម
add-to,Add To,Ajouter à,Dodaj do,เพิ่มไปยัง,បន្ថែមទៅ
add-to-assignment-choice-subtitle,Choose how you want to add {name} to an assignment.,Choisissez comment ajouter {name} à un devoir.,"Wybierz, jak dodać {name} do zadania.",เลือกวิธีที่ต้องการเพิ่ม {name} ไปยังงานที่มอบหมาย,ជ្រើសរើសរបៀបបន្ថែម {name} ទៅកិច្ចការ។
add-to-existing-assignment,Add to an existing assignment,Ajouter à un devoir existant,Dodaj do istniejącego zadania,เพิ่มไปยังงานที่มอบหมายที่มีอยู่,បន្ថែមទៅកិច្ចការដែលមានស្រាប់
add-to-existing-assignment-subtitle,Choose an assignment you want to add {name} to.,Choisissez un devoir auquel ajouter {name}.,"Wybierz zadanie, do którego chcesz dodać {name}.",เลือกงานที่มอบหมายที่ต้องการเพิ่ม {name},ជ្រើសរើសកិច្ចការដែលអ្នកចង់បន្ថែម {name}។
add-to-existing-assignment-title,Add to an existing assignment,Ajouter à un devoir existant,Dodaj do istniejącego zadania,เพิ่มไปยังงานที่มอบหมายที่มีอยู่,បន្ថែមទៅកិច្ចការដែលមានស្រាប់
add-to-favorites,Add to favorites,Ajouter aux favoris,Dodaj do ulubionych,เพิ่มในรายการโปรด,បន្ថែមទៅសំណព្វ
add-to-groups,Add To Groups,Ajouter aux groupes,Dodaj do grup,เพิ่มไปยังกลุ่ม,បន្ថែមទៅក្រុម
add-to-selected-assignment,Add to the selected assignment,Ajouter au devoir sélectionné,Dodaj do wybranego zadania,เพิ่มไปยังงานที่มอบหมายที่เลือก,បន្ថែមទៅកិច្ចការដែលបានជ្រើស
add-to-sequence-subtitle,Add this item to an existing sequence,Ajouter cet élément à une séquence existante,Dodaj ten element do istniejącej sekwencji,เพิ่มรายการนี้ไปยังลำดับที่มีอยู่,បន្ថែមធាតុនេះទៅលំដាប់ដែលមានស្រាប់
all-selected-already-in-assignment,All selected items are already in this assignment,Tous les éléments sélectionnés sont déjà dans ce devoir,Wszystkie wybrane elementy są już w tym zadaniu,รายการที่เลือกทั้งหมดอยู่ในงานที่มอบหมายนี้แล้ว,ធាតុដែលបានជ្រើសទាំងអស់មាននៅក្នុងកិច្ចការនេះរួចហើយ
